Team,Current Elo
Abkhazia,1573
Afghanistan,1518
Albania,1817
Alderney,1267
Algeria,1965
Ambazonia,1464
American Samoa,1327
Andalusia,1597
Andorra,1432
Angola,1767
Anguilla,1270
Antigua and Barbuda,1502
Arameans Suryoye,1524
Argentina,2225
Armenia,1701
Artsakh,1531
Aruba,1406
Asturias,1509
Australia,1988
Austria,1998
Aymara,1485
Azerbaijan,1679
Bahamas,1417
Bahrain,1829
Bangladesh,1439
Barawa,1465
Barbados,1469
Basque Country,1790
Belarus,1716
Belgium,2095
Belize,1521
Benin,1696
Bermuda,1573
Bhutan,1262
Biafra,1511
Bolivia,1802
Bonaire,1465
Bosnia and Herzegovina,1814
Botswana,1665
Brazil,2193
British Virgin Islands,1304
Brittany,1539
Brunei,1311
Bulgaria,1774
Burkina Faso,1805
Burma,1498
Burundi,1623
Cambodia,1392
Cameroon,1878
Canada,1946
Canary Islands,1524
Cape Verde,1766
Cascadia,1519
Catalonia,1681
Cayman Islands,1410
Central African Republic,1577
Central Spain,1501
Chad,1515
Chagos Islands,1447
Chameria,1513
Chechnya,1487
Chile,1948
China PR,1803
Cilento,1493
Colombia,2137
Comoros,1625
Congo,1627
Cook Islands,1414
Corsica,1563
Costa Rica,1899
County of Nice,1541
Crimea,1511
Croatia,2065
Cuba,1636
Curaçao,1656
Cyprus,1631
Czech Republic,1955
Czechoslovakia,1831
DR Congo,1793
Darfur,1452
Denmark,2042
Djibouti,1350
Dominica,1457
Dominican Republic,1622
Donetsk PR,1505
Délvidék,1500
East Timor,1480
Ecuador,2037
Egypt,1949
El Salvador,1722
Elba Island,1507
Ellan Vannin,1545
England,2144
Equatorial Guinea,1721
Eritrea,1450
Estonia,1696
Eswatini,1554
Ethiopia,1626
Falkland Islands,1400
Faroe Islands,1552
Felvidék,1509
Fiji,1671
Finland,1815
France,2188
Franconia,1506
French Guiana,1600
Frøya,1414
Gabon,1737
Galicia,1542
Gambia,1652
Georgia,1846
German DR,1802
Germany,2130
Ghana,1811
Gibraltar,1491
Gotland,1492
Gozo,1497
Greece,1937
Greenland,1501
Grenada,1508
Guadeloupe,1667
Guam,1352
Guatemala,1776
Guernsey,1726
Guinea,1759
Guinea-Bissau,1627
Guyana,1605
Găgăuzia,1484
Haiti,1778
Hitra,1446
Hmong,1492
Honduras,1806
Hong Kong,1590
Hungary,1957
Iceland,1826
India,1636
Indonesia,1720
Iran,2063
Iraq,1936
Iraqi Kurdistan,1566
Isle of Man,1619
Isle of Wight,1614
Israel,1813
Italy,2121
Ivory Coast,1920
Jamaica,1830
Japan,2090
Jersey,1783
Jordan,1879
Kabylia,1489
Kazakhstan,1679
Kenya,1701
Kernow,1568
Kiribati,1442
Kosovo,1739
Kuwait,1729
Kyrgyzstan,1649
Kárpátalja,1541
Laos,1342
Latvia,1609
Lebanon,1683
Lesotho,1570
Liberia,1575
Libya,1711
Liechtenstein,1387
Lithuania,1601
Luhansk PR,1496
Luxembourg,1665
Macau,1289
Madagascar,1635
Madrid,1495
Malawi,1647
Malaya,1486
Malaysia,1709
Maldives,1444
Mali,1844
Malta,1584
Manchukuo,1476
Mapuche,1501
Martinique,1706
Matabeleland,1504
Maule Sur,1516
Mauritania,1664
Mauritius,1474
Mayotte,1529
Menorca,1545
Mexico,2017
Micronesia,1467
Moldova,1620
Monaco,1491
Mongolia,1385
Montenegro,1772
Montserrat,1458
Morocco,1997
Mozambique,1697
Myanmar,1486
Namibia,1664
Nepal,1462
Netherlands,2119
New Caledonia,1671
New Zealand,1817
Nicaragua,1632
Niger,1568
Nigeria,1873
Niue,1489
North Korea,1747
North Macedonia,1810
North Vietnam,1490
Northern Cyprus,1599
Northern Ireland,1790
Northern Mariana Islands,1359
Norway,1938
Occitania,1588
Oman,1851
Orkney,1453
Padania,1627
Pakistan,1341
Palau,1482
Palestine,1713
Panama,1908
Panjab,1530
Papua New Guinea,1550
Paraguay,1934
Parishes of Jersey,1510
Peru,1970
Philippines,1550
Poland,1970
Portugal,2137
Provence,1475
Puerto Rico,1517
Qatar,1910
Raetia,1457
Republic of Ireland,1875
Republic of St. Pauli,1493
Rhodes,1559
Romani people,1485
Romania,1904
Russia,1982
Rwanda,1664
Ryūkyū,1492
Réunion,1644
Saare County,1421
Saarland,1488
Saint Barthélemy,1485
Saint Helena,1452
Saint Kitts and Nevis,1571
Saint Lucia,1516
Saint Martin,1457
Saint Pierre and Miquelon,1460
Saint Vincent and the Grenadines,1541
Samoa,1465
San Marino,1302
Sark,1471
Saudi Arabia,1866
Saugeais,1500
Scotland,1931
Sealand,1504
Seborga,1492
Senegal,1978
Serbia,1986
Seychelles,1364
Shetland,1515
Sierra Leone,1628
Silesia,1520
Singapore,1602
Sint Maarten,1466
Slovakia,1905
Slovenia,1909
Solomon Islands,1650
Somalia,1314
Somaliland,1495
South Africa,1851
South Korea,2039
South Ossetia,1495
South Sudan,1477
South Yemen,1491
Spain,2226
Sri Lanka,1324
Sudan,1655
Suriname,1657
Surrey,1508
Sweden,1981
Switzerland,2015
Syria,1747
Székely Land,1489
Sápmi,1489
São Tomé and Príncipe,1425
Tahiti,1667
Taiwan,1474
Tajikistan,1681
Tamil Eelam,1513
Tanzania,1671
Thailand,1782
Tibet,1413
Ticino,1482
Timor-Leste,1273
Togo,1671
Tonga,1374
Trinidad and Tobago,1738
Tunisia,1908
Turkey,1969
Turkmenistan,1594
Turks and Caicos Islands,1386
Tuvalu,1435
Two Sicilies,1473
Uganda,1713
Ukraine,1989
United Arab Emirates,1867
United Koreans in Japan,1507
United States,2019
United States Virgin Islands,1314
Uruguay,2087
Uzbekistan,1941
Vanuatu,1591
Vatican City,1472
Venezuela,1941
Vietnam,1719
Vietnam Republic,1530
Wales,1946
Wallis Islands and Futuna,1430
West Papua,1499
Western Armenia,1499
Western Australia,1485
Western Isles,1504
Western Sahara,1495
Western Samoa,1460
Yemen,1532
Yemen DPR,1467
Ynys Môn,1630
Yorkshire,1534
Yoruba Nation,1493
Yugoslavia,1829
Zambia,1746
Zanzibar,1579
Zimbabwe,1694
Åland Islands,1531
